'sea1m,'lppr1-ctd-shallow-seatemp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 27),'SOMEWHAT-HIGH=(27 30.5),'HIGH=(30.5 31),'VERY-HIGH=(31 32),'DRASTIC-HIGH=(32 33)
'windgu-test,'lppr1-wind1-gust,'test,'( 1 366),'DRASTIC-LOW=(0 5),'VERY-LOW=(5 8),'LOW=(8 9.9),'SOMEWHAT-LOW=(9.9 10),'AVERAGE=(10 15),'SOMEWHAT-HIGH=(15 20),'HIGH=(20 30),'VERY-HIGH=(30 60),'DRASTIC-HIGH=(60 170)
'par1m-test,'lppr1-bic-shallow-par,'test,'( 1 366),'DRASTIC-LOW=(0 50),'VERY-LOW=(50 100),'LOW=(100 200),'SOMEWHAT-LOW=(200 300),'AVERAGE=(300 765),'SOMEWHAT-HIGH=(765 830),'HIGH=(830 950),'VERY-HIGH=(950 1170),'DRASTIC-HIGH=(1170 1585)
'sea3m,'lppr1-ctd-deep-seatemp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
'barom-test,'lppr1-barom,'test,'( 1 366),'DRASTIC-LOW=(880 1005),'VERY-LOW=(1005 1008),'LOW=(1008 1010),'SOMEWHAT-LOW=(1010 1011),'AVERAGE=(1011 1015),'SOMEWHAT-HIGH=(1015 1018),'HIGH=(1018 1020),'VERY-HIGH=(1020 1022),'DRASTIC-HIGH=(1022 1024)
'parsurf,'lppr1-bic-surf-par,'online,'( 1 366),'DRASTIC-LOW=(-0.1 50),'VERY-LOW=(50 100),'LOW=(100 300),'SOMEWHAT-LOW=(300 600),'AVERAGE=(600 1800),'SOMEWHAT-HIGH=(1800 1830),'HIGH=(1830 1870),'VERY-HIGH=(1870 1930),'DRASTIC-HIGH=(1930 2150)
'windsp,'lppr1-wind1-speed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir-test,'lppr1-wind1-dir,'test,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'airt-test,'lppr1-air-t,'test,'( 1 366),'DRASTIC-LOW=(8 10),'VERY-LOW=(10 13),'LOW=(13 15),'SOMEWHAT-LOW=(15 18),'AVERAGE=(18 22),'SOMEWHAT-HIGH=(22 24),'HIGH=(24 27),'VERY-HIGH=(27 30),'DRASTIC-HIGH=(30 32)
'windgu2-test,'lppr1-wxt-wgust,'test,'( 1 366),'DRASTIC-LOW=(0 5),'VERY-LOW=(5 8),'LOW=(8 9.9),'SOMEWHAT-LOW=(9.9 10),'AVERAGE=(10 15),'SOMEWHAT-HIGH=(15 20),'HIGH=(20 30),'VERY-HIGH=(30 60),'DRASTIC-HIGH=(60 170)
'windsp2-test,'lppr1-wxt-wspeed,'test,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir2-test,'lppr1-wxt-wdir,'test,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'loggertemp-test,'lppr1-logger-ptemp,'test,'( 1 366),'DRASTIC-LOW=(8 12),'VERY-LOW=(12 16),'LOW=(16 20),'SOMEWHAT-LOW=(20 25),'AVERAGE=(25 30),'SOMEWHAT-HIGH=(30 32),'HIGH=(32 34),'VERY-HIGH=(34 38),'DRASTIC-HIGH=(38 44)
'uvbs305-test,'lppr1-bic-surf-305nm,'test,'( 1 366),'DRASTIC-LOW=(0 1),'VERY-LOW=(1 2.5),'LOW=(2.5 3),'SOMEWHAT-LOW=(3 4),'AVERAGE=(4 5),'SOMEWHAT-HIGH=(5 6),'HIGH=(6 7),'VERY-HIGH=(7 8),'DRASTIC-HIGH=(8 11)
'uvbs330-test,'lppr1-bic-surf-330nm,'test,'( 1 366),'DRASTIC-LOW=(0 10),'VERY-LOW=(10 17),'LOW=(17 22),'SOMEWHAT-LOW=(22 30),'AVERAGE=(30 51),'SOMEWHAT-HIGH=(51 52),'HIGH=(52 55),'VERY-HIGH=(55 57),'DRASTIC-HIGH=(57 77)
'uvbs380-test,'lppr1-bic-surf-380nm,'test,'( 1 366),'DRASTIC-LOW=(0 10),'VERY-LOW=(10 15),'LOW=(15 25),'SOMEWHAT-LOW=(25 40),'AVERAGE=(40 75),'SOMEWHAT-HIGH=(75 77),'HIGH=(77 79),'VERY-HIGH=(79 83),'DRASTIC-HIGH=(83 90)
'uvbu380-test,'lppr1-bic-shallow-380nm,'test,'( 1 366),'DRASTIC-LOW=(0 10),'VERY-LOW=(10 16),'LOW=(16 19),'SOMEWHAT-LOW=(19 21),'AVERAGE=(21 32),'SOMEWHAT-HIGH=(32 34),'HIGH=(34 40),'VERY-HIGH=(40 50),'DRASTIC-HIGH=(50 70)
'uvbu330-test,'lppr1-bic-shallow-330nm,'test,'( 1 366),'DRASTIC-LOW=(0 5),'VERY-LOW=(5 7),'LOW=(7 9),'SOMEWHAT-LOW=(9 10),'AVERAGE=(10 17),'SOMEWHAT-HIGH=(17 18),'HIGH=(18 21),'VERY-HIGH=(21 27),'DRASTIC-HIGH=(27 45)
'uvbu305-test,'lppr1-bic-shallow-305nm,'test,'( 1 366),'DRASTIC-LOW=(0 1),'VERY-LOW=(1 1.5),'LOW=(1.5 2),'SOMEWHAT-LOW=(2 2.5),'AVERAGE=(2.5 2.75),'SOMEWHAT-HIGH=(2.75 3),'HIGH=(3 3.5),'VERY-HIGH=(3.5 4),'DRASTIC-HIGH=(4 6)
'salin1m-test,'lppr1-ctd-shallow-salinity,'test,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'salin3m-test,'lppr1-ctd-deep-salinity,'test,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'tide1m-test,'lppr1-ctd-shallow-i-depth,'test,'( 1 366),'DRASTIC-LOW=(0 0.5),'VERY-LOW=(0.5 1),'LOW=(1 1.3),'SOMEWHAT-LOW=(1.3 1.31),'AVERAGE=(1.31 1.5),'SOMEWHAT-HIGH=(1.5 1.7),'HIGH=(1.7 2),'VERY-HIGH=(2 2.5),'DRASTIC-HIGH=(2.5 4)
'tide3m-test,'lppr1-ctd-deep-i-depth,'test,'( 1 366),'DRASTIC-LOW=(4 4.5),'VERY-LOW=(4.5 5.1),'LOW=(5.1 5.3),'SOMEWHAT-LOW=(5.3 5.5),'AVERAGE=(5.5 5.7),'SOMEWHAT-HIGH=(5.7 5.8),'HIGH=(5.8 6.0),'VERY-HIGH=(6.0 6.2),'DRASTIC-HIGH=(6.2 7)
'volts-test,'lppr1-logger-batt,'test,'( 1 366),'DRASTIC-LOW=(7 8),'VERY-LOW=(8 9),'LOW=(9 10),'SOMEWHAT-LOW=(10 11),'AVERAGE=(11 12),'SOMEWHAT-HIGH=(12 13),'HIGH=(13 14),'VERY-HIGH=(14 15),'DRASTIC-HIGH=(15 17)
'satsignal-test,'lppr1-daps-sig,'test,'( 1 366),'DRASTIC-LOW=(0 30),'VERY-LOW=(30 36),'LOW=(36 38),'SOMEWHAT-LOW=(38 40),'AVERAGE=(40 45),'SOMEWHAT-HIGH=(45 46),'HIGH=(46 47),'VERY-HIGH=(47 48),'DRASTIC-HIGH=(48 50)
'wxtbarom,'lppr1-wxt-barom,'online,'( 1 366),'DRASTIC-LOW=(880 1005),'VERY-LOW=(1005 1008),'LOW=(1008 1010),'SOMEWHAT-LOW=(1010 1011),'AVERAGE=(1011 1015),'SOMEWHAT-HIGH=(1015 1018),'HIGH=(1018 1020),'VERY-HIGH=(1020 1022),'DRASTIC-HIGH=(1022 1024)
'wxtairt-test,'lppr1-wxt-air-t,'test,'( 1 366),'DRASTIC-LOW=(8 10),'VERY-LOW=(10 13),'LOW=(13 15),'SOMEWHAT-LOW=(15 18),'AVERAGE=(18 22),'SOMEWHAT-HIGH=(22 24),'HIGH=(24 27),'VERY-HIGH=(27 30),'DRASTIC-HIGH=(30 32)
'uvbd380-test,'lppr1-bic-deep-380nm,'test,'( 1 366),'DRASTIC-LOW=(0 10),'VERY-LOW=(10 17),'LOW=(17 22),'SOMEWHAT-LOW=(22 30),'AVERAGE=(30 35),'SOMEWHAT-HIGH=(35 45),'HIGH=(45 55),'VERY-HIGH=(55 60),'DRASTIC-HIGH=(60 70)
'uvbd330-test,'lppr1-bic-deep-330nm,'test,'( 1 366),'DRASTIC-LOW=(0 5),'VERY-LOW=(5 10),'LOW=(10 15),'SOMEWHAT-LOW=(15 20),'AVERAGE=(20 25),'SOMEWHAT-HIGH=(25 30),'HIGH=(30 35),'VERY-HIGH=(35 40),'DRASTIC-HIGH=(40 45)
'uvbd305-test,'lppr1-bic-deep-305nm,'test,'( 1 366),'DRASTIC-LOW=(0 1),'VERY-LOW=(1 1.5),'LOW=(1.5 2),'SOMEWHAT-LOW=(2 2.5),'AVERAGE=(2.5 2.75),'SOMEWHAT-HIGH=(2.75 3),'HIGH=(3 3.5),'VERY-HIGH=(3.5 4),'DRASTIC-HIGH=(4 6)
'par3m-test,'lppr1-bic-deep-par,'test,'( 1 366),'DRASTIC-LOW=(0 50),'VERY-LOW=(50 100),'LOW=(100 200),'SOMEWHAT-LOW=(200 300),'AVERAGE=(300 515),'SOMEWHAT-HIGH=(515 540),'HIGH=(540 605),'VERY-HIGH=(605 686),'DRASTIC-HIGH=(686 825)
'sami-pco2-test,'lppr1-sami-pco2,'test,'( 1 366),'DRASTIC-LOW=(200 250),'VERY-LOW=(250 300),'LOW=(300 350),'SOMEWHAT-LOW=(350 400),'AVERAGE=(400 420),'SOMEWHAT-HIGH=(420 450),'HIGH=(450 500),'VERY-HIGH=(500 550),'DRASTIC-HIGH=(550 600)
'sami-temp-test,'lppr1-sami-seatemp,'test,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
'mwsst,'lppr1-amsre-mwsst,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 29.8),'SOMEWHAT-HIGH=(29.8 30),'HIGH=(30 30.2),'VERY-HIGH=(30.2 30.6),'DRASTIC-HIGH=(30.6 32)
'seatemp-groundt,'lppr1-ct-groundt-seatemp,'online,'( 1 366),'CONNECTED=(5 38)
'salin-groundt,'lppr1-ct-groundt-salinity,'online,'( 1 366),'CONNECTED=(15 42)
'sea1m-monthly,'lppr1-ctd-shallow-seatemp-30-day-average,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 29),'SOMEWHAT-HIGH=(29 29.7),'HIGH=(29.7 30),'VERY-HIGH=(30 30.3),'DRASTIC-HIGH=(30.3 31)
'bleaching-seatemp,'lppr1-ctd-shallow-seatemp,'online,'( 1 366),'AVERAGE=(15 30.7),'HIGH=(30.7 31),'VERY-HIGH=(31 31.4),'DRASTIC-HIGH=(31.4 32)
